Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance
.3840E+03 .7739E+00 .4920E+00 .1555E+00 .6215E+00
.3845E+03 .1137E+01 .7241E+00 .2278E+00 .9136E+00
.3850E+03 .1126E+01 .7186E+00 .2250E+00 .9055E+00
.3855E+03 .1047E+01 .6696E+00 .2087E+00 .8429E+00
.3860E+03 .8952E+00 .5739E+00 .1781E+00 .7216E+00
.3865E+03 .1174E+01 .7542E+00 .2330E+00 .9473E+00
.3870E+03 .9746E+00 .6273E+00 .1929E+00 .7870E+00
.3875E+03 .1094E+01 .7052E+00 .2158E+00 .8836E+00
.3880E+03 .1009E+01 .6516E+00 .1984E+00 .8155E+00
.3885E+03 .9956E+00 .6444E+00 .1954E+00 .8057E+00
.3890E+03 .1074E+01 .6962E+00 .2101E+00 .8695E+00
.3895E+03 .1299E+01 .8437E+00 .2535E+00 .1053E+01
.3900E+03 .1302E+01 .8473E+00 .2534E+00 .1056E+01
.3905E+03 .1197E+01 .7803E+00 .2323E+00 .9713E+00
.3910E+03 .1407E+01 .9191E+00 .2724E+00 .1143E+01
.3915E+03 .1434E+01 .9382E+00 .2767E+00 .1165E+01
.3920E+03 .1207E+01 .7908E+00 .2322E+00 .9811E+00
.3925E+03 .1079E+01 .7083E+00 .2071E+00 .8779E+00
.3930E+03 .5993E+00 .3943E+00 .1148E+00 .4882E+00
.3935E+03 .4350E+00 .2868E+00 .8309E-01 .3547E+00
.3940E+03 .8843E+00 .5839E+00 .1684E+00 .7214E+00
.3945E+03 .1123E+01 .7427E+00 .2133E+00 .9167E+00
.3950E+03 .1369E+01 .9069E+00 .2593E+00 .1118E+01
.3955E+03 .1390E+01 .9220E+00 .2623E+00 .1136E+01
.3960E+03 .1204E+01 .7999E+00 .2266E+00 .9841E+00
.3965E+03 .7024E+00 .4677E+00 .1319E+00 .5749E+00
.3970E+03 .5264E+00 .3512E+00 .9864E-01 .4313E+00
.3975E+03 .1070E+01 .7147E+00 .1998E+00 .8768E+00
.3980E+03 .1498E+01 .1002E+01 .2788E+00 .1228E+01
.3985E+03 .1547E+01 .1036E+01 .2870E+00 .1268E+01
.3990E+03 .1671E+01 .1122E+01 .3096E+00 .1372E+01
.3995E+03 .1664E+01 .1119E+01 .3074E+00 .1367E+01
.4000E+03 .1728E+01 .1163E+01 .3180E+00 .1420E+01
.4010E+03 .1770E+01 .1195E+01 .3266E+00 .1459E+01
.4020E+03 .1862E+01 .1262E+01 .3420E+00 .1537E+01
.4030E+03 .1764E+01 .1200E+01 .3225E+00 .1459E+01
.4040E+03 .1734E+01 .1183E+01 .3152E+00 .1435E+01
.4050E+03 .1731E+01 .1184E+01 .3128E+00 .1434E+01
.4060E+03 .1698E+01 .1165E+01 .3055E+00 .1409E+01
.4070E+03 .1666E+01 .1147E+01 .2985E+00 .1385E+01
.4080E+03 .1730E+01 .1194E+01 .3079E+00 .1438E+01
.4090E+03 .1848E+01 .1279E+01 .3272E+00 .1538E+01
.4100E+03 .1611E+01 .1118E+01 .2837E+00 .1342E+01
.4110E+03 .1741E+01 .1212E+01 .3051E+00 .1453E+01
.4120E+03 .1864E+01 .1301E+01 .3253E+00 .1558E+01
.4130E+03 .1817E+01 .1271E+01 .3150E+00 .1519E+01
.4140E+03 .1835E+01 .1287E+01 .3167E+00 .1536E+01
.4150E+03 .1835E+01 .1291E+01 .3152E+00 .1538E+01
.4160E+03 .1862E+01 .1314E+01 .3185E+00 .1563E+01
.4170E+03 .1814E+01 .1283E+01 .3086E+00 .1524E+01
.4180E+03 .1778E+01 .1261E+01 .3008E+00 .1495E+01
.4190E+03 .1798E+01 .1278E+01 .3026E+00 .1513E+01
.4200E+03 .1788E+01 .1274E+01 .2993E+00 .1506E+01
.4210E+03 .1867E+01 .1334E+01 .3110E+00 .1574E+01
.4220E+03 .1772E+01 .1269E+01 .2936E+00 .1495E+01
.4230E+03 .1728E+01 .1240E+01 .2849E+00 .1460E+01
.4240E+03 .1826E+01 .1313E+01 .2994E+00 .1543E+01
.4250E+03 .1819E+01 .1312E+01 .2969E+00 .1539E+01
.4260E+03 .1766E+01 .1278E+01 .2872E+00 .1497E+01
.4270E+03 .1731E+01 .1255E+01 .2799E+00 .1468E+01
.4280E+03 .1685E+01 .1223E+01 .2709E+00 .1430E+01
.4290E+03 .1591E+01 .1159E+01 .2548E+00 .1352E+01
.4300E+03 .1390E+01 .1015E+01 .2215E+00 .1182E+01
.4310E+03 .1378E+01 .1007E+01 .2182E+00 .1172E+01
.4320E+03 .1774E+01 .1301E+01 .2799E+00 .1512E+01
.4330E+03 .1781E+01 .1308E+01 .2796E+00 .1519E+01
.4340E+03 .1653E+01 .1216E+01 .2580E+00 .1410E+01
.4350E+03 .1726E+01 .1272E+01 .2678E+00 .1472E+01
.4360E+03 .1939E+01 .1433E+01 .2997E+00 .1657E+01
.4370E+03 .1907E+01 .1413E+01 .2937E+00 .1632E+01
.4380E+03 .1733E+01 .1287E+01 .2657E+00 .1485E+01
.4390E+03 .1796E+01 .1334E+01 .2732E+00 .1537E+01
.4400E+03 .1849E+01 .1377E+01 .2801E+00 .1584E+01
.4410E+03 .1911E+01 .1427E+01 .2885E+00 .1640E+01
.4420E+03 .2047E+01 .1532E+01 .3075E+00 .1758E+01
.4430E+03 .1996E+01 .1495E+01 .2980E+00 .1714E+01
.4440E+03 .2035E+01 .1527E+01 .3023E+00 .1749E+01
.4450E+03 .1992E+01 .1496E+01 .2941E+00 .1711E+01
.4460E+03 .1895E+01 .1427E+01 .2789E+00 .1631E+01
.4470E+03 .2043E+01 .1542E+01 .2994E+00 .1760E+01
.4480E+03 .2078E+01 .1569E+01 .3023E+00 .1788E+01
.4490E+03 .2078E+01 .1574E+01 .3016E+00 .1793E+01
.4500E+03 .2132E+01 .1619E+01 .3081E+00 .1841E+01
.4510E+03 .2209E+01 .1680E+01 .3177E+00 .1909E+01
.4520E+03 .2126E+01 .1619E+01 .3042E+00 .1838E+01
.4530E+03 .1997E+01 .1524E+01 .2844E+00 .1727E+01
.4540E+03 .2080E+01 .1590E+01 .2951E+00 .1801E+01
.4550E+03 .2092E+01 .1602E+01 .2952E+00 .1812E+01
.4560E+03 .2139E+01 .1640E+01 .3004E+00 .1854E+01
.4570E+03 .2173E+01 .1669E+01 .3037E+00 .1884E+01
.4580E+03 .2101E+01 .1614E+01 .2917E+00 .1821E+01
.4590E+03 .2087E+01 .1607E+01 .2885E+00 .1810E+01
.4600E+03 .2093E+01 .1613E+01 .2877E+00 .1815E+01
.4610E+03 .2139E+01 .1651E+01 .2927E+00 .1856E+01
.4620E+03 .2151E+01 .1663E+01 .2932E+00 .1868E+01
.4630E+03 .2137E+01 .1653E+01 .2895E+00 .1855E+01
.4640E+03 .2096E+01 .1625E+01 .2829E+00 .1822E+01
.4650E+03 .2064E+01 .1604E+01 .2777E+00 .1797E+01
.4660E+03 .2080E+01 .1620E+01 .2788E+00 .1813E+01
.4670E+03 .2044E+01 .1592E+01 .2722E+00 .1780E+01
.4680E+03 .2067E+01 .1612E+01 .2740E+00 .1801E+01
.4690E+03 .2077E+01 .1622E+01 .2740E+00 .1811E+01
.4700E+03 .2011E+01 .1572E+01 .2639E+00 .1753E+01
.4710E+03 .2007E+01 .1571E+01 .2621E+00 .1750E+01
.4720E+03 .2115E+01 .1657E+01 .2747E+00 .1844E+01
.4730E+03 .2088E+01 .1638E+01 .2698E+00 .1821E+01
