Wvlgth,Global_horizn_irradiance
873.0,0.2205
874.0,0.2179
875.0,0.2135
876.0,0.2158
877.0,0.2179
878.0,0.2205
879.0,0.217
880.0,0.2124
881.0,0.2096
882.0,0.2141
883.0,0.2146
884.0,0.2137
885.0,0.2152
886.0,0.2063
887.0,0.2077
888.0,0.2118
889.0,0.2126
890.0,0.2123
891.0,0.2114
892.0,0.2066
893.0,0.2025
894.0,0.1991
895.0,0.1934
896.0,0.1932
897.0,0.1793
898.0,0.1843
899.0,0.1514
900.0,0.1815
901.0,0.1625
902.0,0.1688
903.0,0.1745
904.0,0.2001
905.0,0.1965
906.0,0.1876
907.0,0.167
908.0,0.171
909.0,0.1747
910.0,0.164
911.0,0.1679
912.0,0.1749
913.0,0.1665
914.0,0.17
915.0,0.1732
916.0,0.1625
917.0,0.1784
918.0,0.1654
919.0,0.1802
920.0,0.1838
921.0,0.1817
922.0,0.1708
923.0,0.1757
924.0,0.174
925.0,0.1717
926.0,0.1722
927.0,0.1853
928.0,0.1582
929.0,0.1491
930.0,0.1338
931.0,0.1236
932.0,0.1021
933.0,0.09225
934.0,0.07081
935.0,0.09029
936.0,0.06825
937.0,0.07293
938.0,0.0832
939.0,0.1217
940.0,0.1362
941.0,0.1151
942.0,0.1246
943.0,0.09627
944.0,0.09394
945.0,0.117
946.0,0.07652
947.0,0.1194
948.0,0.09497
949.0,0.1471
950.0,0.06884
951.0,0.1427
952.0,0.09842
953.0,0.111
954.0,0.1219
955.0,0.1136
956.0,0.1051
957.0,0.1027
958.0,0.1275
959.0,0.1159
960.0,0.1256
961.0,0.1319
962.0,0.1278
963.0,0.1384
964.0,0.1301
965.0,0.1358
966.0,0.1435
967.0,0.1454
968.0,0.1622
969.0,0.1657
970.0,0.1613
971.0,0.1709
972.0,0.1651
973.0,0.1574
974.0,0.1477
975.0,0.1516
976.0,0.15
977.0,0.1613
978.0,0.1569
979.0,0.1599
980.0,0.1561
981.0,0.1677
982.0,0.1634
983.0,0.159
984.0,0.1691
985.0,0.1624
986.0,0.1705
987.0,0.1686
988.0,0.1684
989.0,0.1685
990.0,0.167
991.0,0.1691
992.0,0.1698
993.0,0.1679
994.0,0.1696
995.0,0.1691
996.0,0.1688
997.0,0.1689
998.0,0.1682
999.0,0.1676
1000.0,0.167
1001.0,0.1684
1002.0,0.1658
1003.0,0.1656
1004.0,0.162
1005.0,0.1554
1006.0,0.1619
1007.0,0.1651
1008.0,0.1647
1009.0,0.1642
1010.0,0.1637
1011.0,0.1642
1012.0,0.1632
1013.0,0.1637
1014.0,0.1625
1015.0,0.1616
1016.0,0.1609
1017.0,0.1614
1018.0,0.1605
1019.0,0.1578
1020.0,0.1598
1021.0,0.1594
1022.0,0.1584
1023.0,0.1602
1024.0,0.159
1025.0,0.1598
1026.0,0.1593
1027.0,0.1589
1028.0,0.1586
1029.0,0.1568
1030.0,0.1575
1031.0,0.157
1032.0,0.1564
1033.0,0.154
1034.0,0.154
1035.0,0.1544
1036.0,0.1552
1037.0,0.1525
1038.0,0.1533
1039.0,0.1532
1040.0,0.1525
1041.0,0.1531
1042.0,0.152
1043.0,0.1515
1044.0,0.152
1045.0,0.1499
1046.0,0.1483
1047.0,0.1496
1048.0,0.1503
1049.0,0.1495
1050.0,0.1487
