Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance
.5350E+03 .1878E+01 .1267E+01 .3500E+00 .1434E+01
.5360E+03 .1894E+01 .1279E+01 .3519E+00 .1446E+01
.5370E+03 .1817E+01 .1229E+01 .3368E+00 .1388E+01
.5380E+03 .1848E+01 .1252E+01 .3417E+00 .1413E+01
.5390E+03 .1833E+01 .1243E+01 .3379E+00 .1401E+01
.5400E+03 .1758E+01 .1193E+01 .3230E+00 .1344E+01
.5410E+03 .1775E+01 .1205E+01 .3246E+00 .1355E+01
.5420E+03 .1833E+01 .1245E+01 .3338E+00 .1399E+01
.5430E+03 .1809E+01 .1231E+01 .3289E+00 .1382E+01
.5440E+03 .1845E+01 .1256E+01 .3338E+00 .1408E+01
.5450E+03 .1838E+01 .1252E+01 .3314E+00 .1402E+01
.5460E+03 .1851E+01 .1260E+01 .3319E+00 .1409E+01
.5470E+03 .1846E+01 .1258E+01 .3300E+00 .1406E+01
.5480E+03 .1822E+01 .1243E+01 .3247E+00 .1388E+01
.5490E+03 .1826E+01 .1248E+01 .3247E+00 .1392E+01
.5500E+03 .1847E+01 .1264E+01 .3277E+00 .1409E+01
.5510E+03 .1824E+01 .1250E+01 .3226E+00 .1392E+01
.5520E+03 .1836E+01 .1260E+01 .3238E+00 .1401E+01
